origines,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
Saint-Christophe-et-Niévès,saint-christophe-et-niévès,saint christophe,,,,,,,,,,,
Sainte-Lucie,sainte-lucie,sainte lucie,,,,,,,,,,,
Saint-Marin,saint-marin,saint marin,,,,,,,,,,,
Saint-Vincent-et-les-Grenadines,saint-vincent-et-les-grenadines,saint vincent,,,,,,,,,,,
Salomon,salomon,,,,,,,,,,,,
Salvador,salvador,,,,,,,,,,,,
Samoa,samoa,,,,,,,,,,,,
Sao Tomé-et-Principe,sao tomé-et-principe,sao tome,,,,,,,,,,,
Sénégal,sénégal,senegal,senegalais,,,,,,,,,,
Serbie,serbie,,,,,,,,,,,,
Seychelles,seychelles,,,,,,,,,,,,
Sierra Leone,sierra leone,,,,,,,,,,,,
Singapour,singapour,,,,,,,,,,,,
Slovaquie,slovaquie,,,,,,,,,,,,
Slovénie,slovénie,slovenie,,,,,,,,,,,
Somalie,somalie,,,,,,,,,,,,
Soudan du Sud,soudan du sud,soudan du sud,,,,,,,,,,,
Sri Lanka,sri lanka,sri lanka,,,,,,,,,,,
Suède,suède,suede,suedois,,,,,,,,,,
Suriname,suriname,,,,,,,,,,,,
Syrie,syrie,,,,,,,,,,,,
Tadjikistan,tadjikistan,,,,,,,,,,,,
Tanzanie,tanzanie,,,,,,,,,,,,
Tchad,tchad,,,,,,,,,,,,
Tchéquie,tchéquie,tchequie,,,,,,,,,,,
Thaïlande,thaïlande,thailande,,,,,,,,,,,
Timor oriental,timor oriental,,,,,,,,,,,,
Togo,togo,,,,,,,,,,,,
Tonga,tonga,,,,,,,,,,,,
Trinité-et-Tobago,trinité-et-tobago,trinite,,,,,,,,,,,
Tunisie,tunisie,,,,,,,,,,,,
Turkménistan,turkménistan,turkmenistan,,,,,,,,,,,
Turquie,turquie,,,,,,,,,,,,
Tuvalu,tuvalu,,,,,,,,,,,,
Ukraine,ukraine,,,,,,,,,,,,
Uruguay,uruguay,,,,,,,,,,,,
Vanuatu,vanuatu,,,,,,,,,,,,
Vatican,vatican,,,,,,,,,,,,
Vénézuéla,vénézuéla,venezuela,,,,,,,,,,,
Vietnam,vietnam,,,,,,,,,,,,
Yémen,yémen,yemen,,,,,,,,,,,
Zambie,zambie,,,,,,,,,,,,
Zimbabwé,zimbabwé,zimbabwe,,,,,,,,,,,
Union Européenne,union européenne,union europeenne,ue,europeen,europeenne,,,,,,,,
Suisse,suisse,,,,,,,,,,,,
Argentine,argentine,,,,,,,,,,,,
Ain,ain,,,,,,,,,,,,
Aisne,aisne,,,,,,,,,,,,
Allier,allier,,,,,,,,,,,,
Alpes-de-Haute-Provence,alpes-de-haute-provence,alpes de haute provence,,,,,,,,,,,
Hautes-Alpes,hautes-alpes,hautes alpes,,,,,,,,,,,
Alpes-Maritimes,alpes-maritimes,alpes maritimes,,,,,,,,,,,
Ardèche,ardèche,ardeche,,,,,,,,,,,
Ardennes,ardennes,,,,,,,,,,,,
Ariège,ariège,ariege,,,,,,,,,,,
Aube,aube,,,,,,,,,,,,
Aude,aude,,,,,,,,,,,,
Aveyron,aveyron,,,,,,,,,,,,
Bouches-du-Rhône,bouches-du-rhône,bouches rhone,,,,,,,,,,,
Calvados,calvados,,,,,,,,,,,,
Cantal,cantal,,,,,,,,,,,,
Charente,charente,,,,,,,,,,,,
Charente-Maritime,charente-maritime,charente maritime,,,,,,,,,,,
Cher,cher,,,,,,,,,,,,
Corrèze,corrèze,correze,,,,,,,,,,,
Corse-du-Sud,corse-du-sud,corse du sud,,,,,,,,,,,
Haute-Corse,haute-corse,haute corse,,,,,,,,,,,
Côte-d'Or,côte-d'or,cote dor,,,,,,,,,,,
Côtes-d'Armor,côtes-d'armor,cotes darmor,,,,,,,,,,,
Creuse,creuse,,,,,,,,,,,,
Dordogne,dordogne,,,,,,,,,,,,
Doubs,doubs,,,,,,,,,,,,
Drôme,drôme,drome,,,,,,,,,,,
Eure,eure,,,,,,,,,,,,
Eure-et-Loir,eure-et-loir,eure et loir,,,,,,,,,,,
Finistère,finistère,finistere,,,,,,,,,,,
Gard,gard,,,,,,,,,,,,
