basevariante,aliment,variante,tva,famille,allergenes
Coquille Saint-Jacques,Coquille Saint-Jacques,,-,Viandes_Poissons,
Coquillettes,Coquillettes,,-,Epicerie,
Corb,Corb,,-,Viandes_Poissons,
Cordon bleu,Cordon bleu,,-,Viandes_Poissons,
Cordon bleu de dindonneau,Cordon bleu,de dindonneau,-,Viandes_Poissons,
Cordon bleu de volaille,Cordon bleu,de volaille,-,Viandes_Poissons,
Corégone lavaret,Corégone lavaret,,-,Viandes_Poissons,
Coriandre,Coriandre,,-,Fruits_et_légumes,
Coriandre en grains,Coriandre,en grains,-,Fruits_et_légumes,
Coriandre en grain,Coriandre,en grain,-,Fruits_et_légumes,
Corne de gazelle,Corne de gazelle,,-,Epicerie,
Corned-beef,Corned-beef,,-,Viandes_Poissons,
Cornichon,Cornichon,,-,Epicerie,
Cornichon aigre-doux,Cornichon,aigre-doux,-,Epicerie,
Cornichon au vinaigre,Cornichon,au vinaigre,-,Epicerie,
Cornichon en rondelles,Cornichon,en rondelles,-,Epicerie,
Cotes de blettes,Cotes de blettes,,-,Fruits_et_légumes,
Coulirou,Coulirou,,-,Viandes_Poissons,
Coulis de framboise,Coulis,de framboise,-,Epicerie,
Coulis de fruits exotiques,Coulis,de fruits exotiques,-,Epicerie,
Coulis d'aricots,Coulis,d'aricots,-,Epicerie,
Coulis à la fraise,Coulis,à la fraise,-,Epicerie,
Coulis fruits de la passion,Coulis,fruits de la passion,-,Epicerie,
Coulis de fruits rouges,Coulis,de fruits rouges,-,Epicerie,
Coulommiers,Coulommiers,,-,BOF,
Coupe glacée parfum pêche melba,Coupe glacée,parfum pêche melba,-,Epicerie,
Coupe glacée parfum poire belle-hélène,Coupe glacée,parfum poire belle-hélène,-,Epicerie,
Coupe glacée parfum fraise melba,Coupe glacée,parfum fraise melba,-,Epicerie,
Coupe glacée type café ou chocolat liégeois,Coupe glacée,type café ou chocolat liégeois,-,Epicerie,
Courge,Courge,,-,Fruits_et_légumes,
Courge hokkaïdo,Courge,hokkaïdo,-,Fruits_et_légumes,
Courge melonnette,Courge,melonnette,-,Fruits_et_légumes,
Courge musquée,Courge,musquée,-,Fruits_et_légumes,
Courge spaghetti,Courge,spaghetti,-,Fruits_et_légumes,
Courgette bâtonnet,Courgette,bâtonnet,-,Fruits_et_légumes,
Courgette bâtonnet,Courgette,bâtonnet,-,Fruits_et_légumes,
Courgette épluché,Courgette,épluché,-,Fruits_et_légumes,
Courgette épluché,Courgette,épluché,-,Fruits_et_légumes,
Courgette farçie,Courgette,farçie,-,Fruits_et_légumes,
Courgette rondelle,Courgette,rondelle,-,Fruits_et_légumes,
Courgette rondelle,Courgette,rondelle,-,Fruits_et_légumes,
Courgette rondelle,Courgette,rondelle,-,Fruits_et_légumes,
Courgette,Courgette,,-,Fruits_et_légumes,
Courgette,Courgette,,-,Fruits_et_légumes,
Courgette en cubes,Courgette,en cubes,-,Fruits_et_légumes,
Courgette en cubes,Courgette,en cubes,-,Fruits_et_légumes,
Couscous au poisson,Couscous,au poisson,-,Epicerie,
Couscous à la viande,Couscous,à la viande,-,Epicerie,
Couscous au mouton,Couscous,au mouton,-,Epicerie,
Couscous au poulet,Couscous,au poulet,-,Epicerie,
Couscous royal,Couscous,royal,-,Epicerie,
Couscous de légumes,Couscous,de légumes,-,Epicerie,
Crabe,Crabe,,-,Viandes_Poissons,
Crabe miettes,Crabe,miettes,-,Viandes_Poissons,
Crackers au froment,Crackers,au froment,-,Epicerie,
Cranberry,Cranberry,,-,Fruits_et_légumes,
Cranberry séchée sucrée,Cranberry,séchée sucrée,-,Fruits_et_légumes,
Crème anglaise,Crème anglaise,,-,Epicerie,
Crème brûlée,Crème brûlée,,-,BOF,
Crème caramel,Crème caramel,,-,BOF,
Crème chantilly sous pression uht,Crème chantilly,sous pression uht,-,BOF,
Crème d'Isigny AOP >= 35% mg,Crème d'Isigny AOP,>= 35% mg,-,BOF,
Crème de cassis,Crème de cassis,,-,Epicerie,
Crème de Foie,Crème de Foie,,-,Epicerie,
Crème de lait 15 à 20% mg légère fluide,Crème de lait,15 à 20% mg légère fluide,-,BOF,
Crème de lait 15 à 20% mg légère épaisse,Crème de lait,15 à 20% mg légère épaisse,-,BOF,
Crème de lait 15 à 20% mg légère semi-épaisse uht,Crème de lait,15 à 20% mg légère semi-épaisse uht,-,BOF,
Crème de lait 30% mg épaisse,Crème de lait,30% mg épaisse,-,BOF,
Crème de lait 30% mg semi-épaisse uht,Crème de lait,30% mg semi-épaisse uht,-,BOF,
Crème de marrons,Crème de marrons,,-,Epicerie,
Crème de marrons vanillée,Crème de marrons,vanillée,-,Epicerie,
Crème de soja,Crème de soja,,-,Epicerie,
Crème dessert à la vanille,Crème dessert,à la vanille,-,BOF,
Crème dessert à la pistache,Crème dessert,à la pistache,-,BOF,
Crème dessert au caramel beurre salé,Crème dessert,au caramel beurre salé,-,BOF,
Crème dessert vanille,Crème dessert,vanille,-,BOF,
Crème dessert,Crème dessert,,-,BOF,
Crème dessert au café,Crème dessert,au café,-,BOF,
Crème dessert créole,Crème dessert,créole,-,BOF,
Crème dessert praliné,Crème dessert,praliné,-,BOF,
Crème dessert au chocolat,Crème dessert,au chocolat,-,BOF,
Crème dessert au caramel,Crème dessert,au caramel,-,BOF,
Crème dorée,Crème dorée,,-,BOF,
Crème fluide UHT,Crème fluide UHT,,-,BOF,
Crème fluide UHT 15% mg,Crème fluide UHT,15% mg,-,BOF,
Crème fluide UHT 30% mg,Crème fluide UHT,30% mg,-,BOF,
Crème fraîche épaisse,Crème fraîche,épaisse,-,BOF,
Crème fraîche liquide,Crème fraîche,liquide,-,BOF,
Crème fraîche,Crème fraîche,,-,BOF,
Crème fraîche 15-20% mg,Crème fraîche,15-20% mg,-,BOF,
Crème liquide végétale,Crème liquide végétale,,-,BOF,
Crème pâtissière,Crème pâtissière,,-,BOF,
Crème stérilisée,Crème stérilisée,,-,BOF,
Crème UHT 35%,Crème UHT 35%,,-,BOF,
Crêpe au chocolat,Crêpe,au chocolat,-,Epicerie,
Crêpe,Crêpe,,-,Epicerie,
Crêpe à la confiture,Crêpe,à la confiture,-,Epicerie,
Crêpe à la fraise,Crêpe,à la fraise,-,Epicerie,
Crêpe au sucre,Crêpe,au sucre,-,Epicerie,
Crêpe à la béchamel champignon,Crêpe,à la béchamel champignon,-,Epicerie,
Crêpe à la béchamel fromage,Crêpe,à la béchamel fromage,-,Epicerie,
Crêpe au poisson,Crêpe,au poisson,-,Epicerie,
Crêpe aux noix de saint-jacques,Crêpe,aux noix de saint-jacques,-,Epicerie,
Crêpe béchamel jambon,Crêpe,béchamel jambon,-,Epicerie,
Crêpe béchamel jambon fromage,Crêpe,béchamel jambon fromage,-,Epicerie,
Crêpe béchamel jambon fromage champignon,Crêpe,béchamel jambon fromage champignon,-,Epicerie,
Crêpe jambon fromage,Crêpe,jambon fromage,-,Epicerie,
Crêpe au fromage,Crêpe,au fromage,-,Epicerie,
Crêpe complète,Crêpe,complète,-,Epicerie,
Crêpe aux champignons,Crêpe,aux champignons,-,Epicerie,
Crépinette de porc,Crépinette,de porc,-,Epicerie,
Cresson,Cresson,,-,Fruits_et_légumes,
Cresson,Cresson,,-,Fruits_et_légumes,
Cresson épluché,Cresson,épluché,-,Fruits_et_légumes,
Cresson alénois,Cresson,alénois,-,Fruits_et_légumes,
Cresson de fontaine,Cresson,de fontaine,-,Fruits_et_légumes,
Cresson feuille,Cresson,feuille,-,Fruits_et_légumes,
Crevette decortiquées,Crevette,decortiquées,-,Viandes_Poissons,
Crevette,Crevette,,-,Viandes_Poissons,
Crevette,Crevette,,-,Viandes_Poissons,
Crevette géante tigrée,Crevette,géante tigrée,-,Viandes_Poissons,
Crevette grise,Crevette,grise,-,Viandes_Poissons,
Crevette pattes blanches,Crevette,pattes blanches,-,Viandes_Poissons,
Crevette rose,Crevette,rose,-,Viandes_Poissons,
Crevette rose bouquet,Crevette,rose bouquet,-,Viandes_Poissons,
Crevette royale rose,Crevette,royale rose,-,Viandes_Poissons,
Croissant au jambon,Croissant,au jambon,-,Epicerie,
Croissant au jambon fromage,Croissant,au jambon fromage,-,Epicerie,
Croissant,Croissant,,-,Epicerie,
Croissant au beurre,Croissant,au beurre,-,Epicerie,
Croissant aux amandes,Croissant,aux amandes,-,Epicerie,
Croque-monsieur oeuf jambon,Croque-monsieur,oeuf jambon,-,Viandes_Poissons,
Croque-monsieur,Croque-monsieur,,-,Viandes_Poissons,
Croque-monsieur fromage,Croque-monsieur,fromage,-,Viandes_Poissons,
Crosne,Crosne,,-,Fruits_et_légumes,
Crosne,Crosne,,-,Fruits_et_légumes,
Crottin de Chavignol,Crottin,de Chavignol,-,BOF,
Crottin de chèvre,Crottin,de chèvre,-,BOF,
Crottin,Crottin,,-,BOF,
Crousti chocolat en bande,Crousti chocolat,en bande,-,Epicerie,
Crouton,Crouton,,-,Epicerie,
Crouton aromatisé,Crouton,aromatisé,-,Epicerie,
Croûton à l'ail aux fines herbes,Croûton,à l'ail aux fines herbes,-,Epicerie,
Croûton à tartiner,Croûton,à tartiner,-,Epicerie,
Crozets,Crozets,,-,Epicerie,
Crozets au sarrasin,Crozets,au sarrasin,-,Epicerie,
Crumble aux pommes,Crumble,aux pommes,-,Epicerie,
Cucurbitacées graine,Cucurbitacées,graine,-,Epicerie,
Cuisse de canette,Cuisse de canette,,-,Viandes_Poissons,
Cumin en poudre,Cumin,en poudre,-,Epicerie,
Cumin en grains,Cumin,en grains,-,Epicerie,
Curcuma en poudre,Curcuma,en poudre,-,Epicerie,
Curcuma,Curcuma,,-,Epicerie,
Curé nantais,Curé nantais,,-,BOF,
Curry,Curry,,-,Epicerie,
Curry en poudre,Curry,en poudre,-,Epicerie,
Dachine,Dachine,,-,Fruits_et_légumes,
Datte,Datte,,-,Fruits_et_légumes,
Datte sèche,Datte,sèche,-,Fruits_et_légumes,
Denté,Denté,,-,Viandes_Poissons,
Dessert au soja aux amandes,Dessert au soja,aux amandes,-,BOF,
Dessert au soja aux fruits,Dessert au soja,aux fruits,-,BOF,
Dessert au soja nature non enrichi fermenté,Dessert au soja,nature non enrichi fermenté,-,BOF,
Dessert au soja,Dessert au soja,,-,BOF,
Dessert au soja et au chocolat,Dessert au soja,et au chocolat,-,BOF,
Dessert lacté infantile à la semoule,Dessert lacté infantile,à la semoule,-,Epicerie,
Dessert lacté infantile au riz,Dessert lacté infantile,au riz,-,Epicerie,
Dessert lacté infantile aux fruits,Dessert lacté infantile,aux fruits,-,Epicerie,
Dessert lacté infantile type crème dessert,Dessert lacté infantile,type crème dessert,-,Epicerie,
Dessert végétal sans soja,Dessert végétal sans soja,,-,BOF,
Dessert végétal sans soja coco riz aux fruits sucré enrichi en calcium fermenté,Dessert végétal sans soja,coco riz aux fruits sucré enrichi en calcium fermenté,-,BOF,
Dinde filet,Dinde,filet,-,Viandes_Poissons,
Dinde sot l'y laisse,Dinde,sot l'y laisse,-,Viandes_Poissons,
Dinde escalope,Dinde,escalope,-,Viandes_Poissons,
Dinde émincé,Dinde,émincé,-,Viandes_Poissons,
Dinde filet sauté,Dinde,filet sauté,-,Viandes_Poissons,
Dinde pavé filet mariné provençale,Dinde,pavé filet mariné provençale,-,Viandes_Poissons,
Dinde pavé filet,Dinde,pavé filet,-,Viandes_Poissons,
Dinde cuisse émincé,Dinde,cuisse émincé,-,Viandes_Poissons,
Dinde filet émincé,Dinde,filet émincé,-,Viandes_Poissons,
Dinde aiguillette,Dinde,aiguillette,-,Viandes_Poissons,
Dinde kebab,Dinde,kebab,-,Viandes_Poissons,
Dinde épaule,Dinde,épaule,-,Viandes_Poissons,
Dinde aile,Dinde,aile,-,Viandes_Poissons,
Dinde cuisse,Dinde,cuisse,-,Viandes_Poissons,
Dinde Osso bucco,Dinde,Osso bucco,-,Viandes_Poissons,
Dinde,Dinde,,-,Viandes_Poissons,
Dinde cuisse sauté,Dinde,cuisse sauté,-,Viandes_Poissons,
Diot,Diot,,-,Viandes_Poissons,
Donnut's au chocolat,Donnut's,au chocolat,-,Epicerie,
Donnut's,Donnut's,,-,Epicerie,
Dorade,Dorade,,-,Viandes_Poissons,
Dorade grise,Dorade,grise,-,Viandes_Poissons,
Dorade rose,Dorade,rose,-,Viandes_Poissons,
Dorade royale,Dorade,royale,-,Viandes_Poissons,
Dorade royale élevage,Dorade,royale élevage,-,Viandes_Poissons,
Dourian,Dourian,,-,Fruits_et_légumes,
Dragée amande,Dragée amande,,-,Epicerie,
Dulse,Dulse,,-,Epicerie,
Eau minérale,Eau,minérale,-,Epicerie,
Eau en bouteille gazeuse,Eau,en bouteille gazeuse,-,Epicerie,
Eau en bouteille non gazeuse,Eau,en bouteille non gazeuse,-,Epicerie,
Eau du robinet,Eau,du robinet,-,Epicerie,
Eau de coco,Eau de coco,,-,Epicerie,
Eau de rose liquide,Eau de rose,liquide,-,Epicerie,
Eau de source,Eau de source,,-,Epicerie,
Eau de vie de vin,Eau de vie,de vin,-,Epicerie,
Eau de vie,Eau de vie,,-,Epicerie,
Eau de vie type calvados,Eau de vie,type calvados,-,Epicerie,
Echalote,Echalote,,-,Fruits_et_légumes,
Echalote épluché,Echalote,épluché,-,Fruits_et_légumes,
Echalote haché,Echalote,haché,-,Fruits_et_légumes,
Echalote émincé,Echalote,émincé,-,Fruits_et_légumes,
Echalote émincé,Echalote,émincé,-,Fruits_et_légumes,
Échalote,Échalote,,-,Fruits_et_légumes,
Éclair,Éclair,,-,Epicerie,
Éclair à la vanille,Éclair,à la vanille,-,Epicerie,
Éclair au café,Éclair,au café,-,Epicerie,
Éclair au chocolat,Éclair,au chocolat,-,Epicerie,
Écrevisse,Écrevisse,,-,Viandes_Poissons,
Edam,Edam,,-,BOF,
Édulcorant,Édulcorant,,-,Epicerie,
Édulcorant à l'aspartame,Édulcorant,à l'aspartame,-,Epicerie,
Édulcorant à la saccharine,Édulcorant,à la saccharine,-,Epicerie,
Églefin,Églefin,,-,Viandes_Poissons,
Églefin fumé,Églefin,fumé,-,Viandes_Poissons,
Emincé végétal,Emincé végétal,,-,Viandes_Poissons,
Emmental,Emmental,,-,BOF,
Emmental tranche,Emmental,tranche,-,BOF,
Emmental en dés,Emmental,en dés,-,BOF,
Emmental râpé,Emmental râpé,,-,BOF,
Empereur filet,Empereur,filet,-,Viandes_Poissons,
Encornet,Encornet,,-,Viandes_Poissons,
Encornet,Encornet,,-,Viandes_Poissons,
Endive,Endive,,-,Fruits_et_légumes,
Endive au jambon,Endive au jambon,,-,Epicerie,
Entremets type Opéra,Entremets type Opéra,,-,Epicerie,
Épaule de porc,Épaule de porc,,-,Viandes_Poissons,
Épeautre,Épeautre,,-,Epicerie,
Éperlan,Éperlan,,-,Viandes_Poissons,
Epinard branche,Epinard,branche,-,Fruits_et_légumes,
Épinard épluché,Épinard,épluché,-,Fruits_et_légumes,
Épinard,Épinard,,-,Fruits_et_légumes,
Épinard,Épinard,,-,Fruits_et_légumes,
Épinard,Épinard,,-,Fruits_et_légumes,
Épinard jeunes pousses,Épinard,jeunes pousses,-,Fruits_et_légumes,
Épinards à la crème,Épinards à la crème,,-,Epicerie,
Époisses,Époisses,,-,BOF,
Escalope panée de poulet,Escalope panée,de poulet,-,Viandes_Poissons,
Escalope panée de veau,Escalope panée,de veau,-,Viandes_Poissons,
Escalope panée milanaise,Escalope panée,milanaise,-,Viandes_Poissons,
Escalope panée viennoise,Escalope panée,viennoise,-,Viandes_Poissons,
Escalope panée,Escalope panée,,-,Viandes_Poissons,
Escalope végétale,Escalope végétale,,-,Epicerie,
Escargot,Escargot,,-,Viandes_Poissons,
Escargot en sauce au beurre persillé,Escargot,en sauce au beurre persillé,-,Viandes_Poissons,
Espadon,Espadon,,-,Viandes_Poissons,
Estragon,Estragon,,-,Fruits_et_légumes,
Esturgeon,Esturgeon,,-,Viandes_Poissons,
Extrait de café liquide,Extrait de café,liquide,-,Epicerie,
Extrait de vanille liquide,Extrait de vanille,liquide,-,Epicerie,
Fageolet,Fageolet,,-,Epicerie,
Fageolet,Fageolet,,-,Epicerie,
Fageolet vert,Fageolet,vert,-,Epicerie,
Fagot lardé d'asperge,Fagot lardé,d'asperge,-,Epicerie,
Fagot lardé d'haricots verts,Fagot lardé,d'haricots verts,-,Epicerie,
Fagot lardé,Fagot lardé,,-,Epicerie,
Faisan,Faisan,,-,Viandes_Poissons,
Faisselle au coulis de fruits,Faisselle,au coulis de fruits,-,BOF,
Faisselle 6% mg environ,Faisselle,6% mg environ,-,BOF,
Faisselle 0% mg,Faisselle,0% mg,-,BOF,
Fajitas,Fajitas,,-,Epicerie,
Falafel,Falafel,,-,Epicerie,
Far aux pruneaux,Far aux pruneaux,,-,Epicerie,
Far breton aux pruneaux,Far breton,aux pruneaux,-,Epicerie,
Far breton aux pommes,Far breton,aux pommes,-,Epicerie,
Far breton,Far breton,,-,Epicerie,
Farce porc et boeuf crépin,Farce porc et boeuf,crépin,-,Viandes_Poissons,
Farfalles,Farfalles,,-,Epicerie,
Farine d'épeautre,Farine d'épeautre,,-,Epicerie,
Farine d'orge,Farine d'orge,,-,Epicerie,
Farine de blé T55,Farine de blé,T55,-,Epicerie,
Farine de blé T110,Farine de blé,T110,-,Epicerie,
Farine de blé T150,Farine de blé,T150,-,Epicerie,
Farine de blé T45,Farine de blé,T45,-,Epicerie,
Farine de blé T65,Farine de blé,T65,-,Epicerie,
Farine de blé T80,Farine de blé,T80,-,Epicerie,
Farine de blé,Farine de blé,,-,Epicerie,
Farine de châtaigne,Farine de châtaigne,,-,Epicerie,
Farine de maïs,Farine de maïs,,-,Epicerie,
Farine de millet,Farine de millet,,-,Epicerie,
Farine de pois chiche,Farine de pois chiche,,-,Epicerie,
Farine de pulpe de patate douce,Farine de pulpe de patate douce,,-,Epicerie,
Farine de riz,Farine de riz,,-,Epicerie,
Farine de sarrasin,Farine de sarrasin,,-,Epicerie,
Farine de Sarrazin,Farine de Sarrazin,,-,Epicerie,
Farine de seigle T130,Farine de seigle,T130,-,Epicerie,
Farine de seigle T170,Farine de seigle,T170,-,Epicerie,
Farine de seigle T85,Farine de seigle,T85,-,Epicerie,
Farine de soja,Farine de soja,,-,Epicerie,
Fécule de maïs,Fécule de maïs,,-,Epicerie,
Fécule de pomme de terre,Fécule de pomme de terre,,-,Epicerie,
Feijoa,Feijoa,,-,Fruits_et_légumes,
Fenouil en grains,Fenouil,en grains,-,Epicerie,
Fenouil,Fenouil,,-,Fruits_et_légumes,
Fenouil émincé,Fenouil,émincé,-,Epicerie,
Fenouil émincé,Fenouil,émincé,-,Fruits_et_légumes,
Fenouil épluché,Fenouil,épluché,-,Fruits_et_légumes,
Fenugrec en grains,Fenugrec,en grains,-,Epicerie,
Feta,Feta,,-,BOF,
Feta AOP,Feta AOP,,-,BOF,
Feta de Brebis dés,Feta de Brebis,dés,-,BOF,
Feta de brebis bloc,Feta de brebis,bloc,-,BOF,
Feuille de brick,Feuille de brick,,-,Epicerie,
Feuille de chêne,Feuille de chêne,,-,Fruits_et_légumes,
Feuille de chêne,Feuille de chêne,,-,Fruits_et_légumes,
Feuille de chêne épluché,Feuille de chêne,épluché,-,Fruits_et_légumes,
Feuille de gélatine,Feuille de gélatine,,-,Epicerie,
Feuille de vigne farcie au riz,Feuille de vigne farcie au riz,,-,Epicerie,
Feuilleté aux 4 fromages,Feuilleté,aux 4 fromages,-,Epicerie,
Feuilleté aux escargots,Feuilleté,aux escargots,-,Epicerie,
Feuilleté aux champignons,Feuilleté,aux champignons,-,Epicerie,
Feuilleté jambon fromage,Feuilleté,jambon fromage,-,Epicerie,
Feuilleté au saumon oseille,Feuilleté,au saumon oseille,-,Epicerie,
Feuilleté au fromage,Feuilleté,au fromage,-,Epicerie,
Feuilleté au poisson,Feuilleté,au poisson,-,Epicerie,
Feuilleté à la viande,Feuilleté,à la viande,-,Epicerie,
Fève,Fève,,-,Epicerie,
Fève,Fève,,-,Epicerie,
Fève pelée,Fève,pelée,-,Epicerie,
Fève pelée,Fève,pelée,-,Epicerie,
Feverolle,Feverolle,,-,Epicerie,
Ficelle picarde,Ficelle picarde,,-,Epicerie,
Figue,Figue,,-,Fruits_et_légumes,
Figue de Barbarie,Figue,de Barbarie,-,Fruits_et_légumes,
Figue sèche,Figue,sèche,-,Fruits_et_légumes,
Filet d'anchois,Filet d'anchois,,-,Viandes_Poissons,
Filet de bacon,Filet de bacon,,-,Viandes_Poissons,
Filet de saumon,Filet de saumon,,-,Viandes_Poissons,
Filet meuniere,Filet meuniere,,-,Viandes_Poissons,
Flageolet,Flageolet,,-,Fruits_et_légumes,
Flammenkueche,Flammenkueche,,-,Epicerie,
Flan à la poire,Flan,à la poire,-,BOF,
Flan patissier,Flan,patissier,-,BOF,
Flan aux oeufs,Flan,aux oeufs,-,BOF,
Flan vanille nappé caramel,Flan,vanille nappé caramel,-,BOF,
Flan,Flan,,-,BOF,
Flan de légumes,Flan de légumes,,-,Epicerie,
Flétan blanc,Flétan,blanc,-,Viandes_Poissons,
Flétan noir,Flétan,noir,-,Viandes_Poissons,
Fleur de sel,Fleur de sel,,-,Epicerie,
Fleurs d'oranger liquide,Fleurs d'oranger,liquide,-,Epicerie,
Flocon d'avoine,Flocon d'avoine,,-,Epicerie,
Flocons d'avoine,Flocons d'avoine,,-,Epicerie,
Florentin,Florentin,,-,Epicerie,
Focaccia garnie,Focaccia,garnie,-,Epicerie,
Foie de veau,Foie,de veau,-,Viandes_Poissons,
Foie d'agneau,Foie,d'agneau,-,Viandes_Poissons,
Foie de boeuf,Foie,de boeuf,-,Viandes_Poissons,
Foie de volaille,Foie,de volaille,-,Viandes_Poissons,
Foie de. canard,Foie,de. canard,-,Viandes_Poissons,
Foie d'oie,Foie,d'oie,-,Viandes_Poissons,
Foie de dinde,Foie,de dinde,-,Viandes_Poissons,
Foie de poulet,Foie,de poulet,-,Viandes_Poissons,
Foie de génisse,Foie,de génisse,-,Viandes_Poissons,
Foie de porc,Foie,de porc,-,Viandes_Poissons,
Foie,Foie,,-,Viandes_Poissons,
Foie de morue,Foie de morue,,-,Viandes_Poissons,
Foie gras 30% de morceaux,Foie gras,30% de morceaux,-,Viandes_Poissons,
Foie gras 50% de morceaux,Foie gras,50% de morceaux,-,Viandes_Poissons,
Foie gras canard entier,Foie gras,canard entier,-,Viandes_Poissons,
Foie gras de canard,Foie gras,de canard,-,Viandes_Poissons,
Foie gras sans morceaux,Foie gras,sans morceaux,-,Viandes_Poissons,
Fond blanc de volaille liquide,Fond blanc,de volaille liquide,-,Epicerie,
Fond blanc de veau,Fond blanc,de veau,-,Epicerie,
Fond brun liquide,Fond brun,liquide,-,Epicerie,
Fond brun en poudre,Fond brun,en poudre,-,Epicerie,
Fond de pizza tomatée,Fond de pizza,tomatée,-,Epicerie,
Fond de sauce de veau,Fond de sauce,de veau,-,Epicerie,
Fond de sauce de rôti d'agneau,Fond de sauce,de rôti d'agneau,-,Epicerie,
Fond de tarte sablé,Fond de tarte,sablé,-,Epicerie,
Fond de tarte brisé,Fond de tarte,brisé,-,Epicerie,
Fond de tarte feuilleté,Fond de tarte,feuilleté,-,Epicerie,
Fond de veau,Fond de veau,,-,Epicerie,
Fond de veau liquide,Fond de veau,liquide,-,Epicerie,
Fond de volaille,Fond de volaille,,-,Epicerie,
Fond pizza,Fond pizza,,-,Epicerie,
Fondant au chocolat noir et crème anglaise,Fondant au chocolat noir et crème anglaise,,-,BOF,
Fontina,Fontina,,-,BOF,
Fougasse,Fougasse,,-,Epicerie,
Fourme d'Ambert,Fourme d'Ambert,,-,BOF,
Fourme de Montbrison,Fourme de Montbrison,,-,BOF,
Fraise,Fraise,,-,Fruits_et_légumes,
Fraise extrait liquide,Fraise extrait,liquide,-,Epicerie,
Fraise Melba,Fraise Melba,,-,Epicerie,
Fraisier en bande,Fraisier,en bande,-,Epicerie,
Fraisier,Fraisier,,-,Epicerie,
Framboise,Framboise,,-,Fruits_et_légumes,
Framboise,Framboise,,-,Fruits_et_légumes,
Framboise à base de maïs à la cacahuète,Framboise,à base de maïs à la cacahuète,-,Fruits_et_légumes,
Framboisier,Framboisier,,-,Epicerie,
Friand à la viande,Friand,à la viande,-,Epicerie,
Friand jambon fromage,Friand,jambon fromage,-,Epicerie,
Friand au fromage,Friand,au fromage,-,Epicerie,
Frik,Frik,,-,Epicerie,
Frisée,Frisée,,-,Fruits_et_légumes,
Frisée,Frisée,,-,Fruits_et_légumes,
Frisée épluché,Frisée,épluché,-,Fruits_et_légumes,
Frites fraiche,Frites,fraiche,-,Fruits_et_légumes,
Frites,Frites,,-,Fruits_et_légumes,
Frites préfrites pour cuisson en friteuse,Frites,préfrites pour cuisson en friteuse,-,Fruits_et_légumes,
Frites préfrites pour cuisson micro-ondes,Frites,préfrites pour cuisson micro-ondes,-,Fruits_et_légumes,
Frites préfrites pour cuisson rôtie/ au four,Frites,préfrites pour cuisson rôtie/ au four,-,Fruits_et_légumes,
Fromage à pâte ferme,Fromage à pâte ferme,,-,BOF,
Fromage à pâte molle,Fromage à pâte molle,,-,BOF,
Fromage à pate pressée,Fromage à pate pressée,,-,BOF,
Fromage à tartiflette,Fromage à tartiflette,,-,BOF,
Fromage à tartiner,Fromage à tartiner,,-,BOF,
Fromage blanc sucré,Fromage blanc,sucré,-,BOF,
Fromage blanc à la vanille,Fromage blanc,à la vanille,-,BOF,
Fromage blanc 10% mg,Fromage blanc,10% mg,-,BOF,
Fromage blanc,Fromage blanc,,-,BOF,
"Fromage blanc 0,03",Fromage blanc,3%,-,BOF,
Fromage blanc aux fruits,Fromage blanc,aux fruits,-,BOF,
Fromage blanc au chocolat,Fromage blanc,au chocolat,-,BOF,
Fromage blanc aux fruits 0% mg,Fromage blanc,aux fruits 0% mg,-,BOF,
"Fromage blanc 0,03",Fromage blanc,"0,03",-,BOF,
Fromage blanc battu 1/2 écrémé,Fromage blanc battu,1/2 écrémé,-,BOF,
Fromage blanc battu,Fromage blanc battu,,-,BOF,
Fromage blanc battu 0% mg,Fromage blanc battu,0% mg,-,BOF,
Fromage blanc battu entier,Fromage blanc battu,entier,-,BOF,
Fromage de brebis des pyrénées,Fromage de brebis,des pyrénées,-,BOF,
Fromage de brebis,Fromage de brebis,,-,BOF,
Fromage de chèvre,Fromage de chèvre,,-,BOF,
Fromage de chèvre à tartiner,Fromage de chèvre,à tartiner,-,BOF,
Fromage de chèvre bûche,Fromage de chèvre,bûche,-,BOF,
Fromage de chèvre bûchette,Fromage de chèvre,bûchette,-,BOF,
Fromage de chèvre demi-sec,Fromage de chèvre,demi-sec,-,BOF,
Fromage de chèvre pané à dorer,Fromage de chèvre pané à dorer,,-,Epicerie,
Fromage de chèvre sec,Fromage de chèvre sec,,-,BOF,
Fromage de tête,Fromage de tête,,-,Viandes_Poissons,
Fromage fondu,Fromage fondu,,-,BOF,
Fromage pané au jambon,Fromage pané au jambon,,-,Epicerie,
Fructose,Fructose,,-,Epicerie,
Fruit à pain,Fruit à pain,,-,Fruits_et_légumes,
Fruit confit,Fruit confit,,-,Epicerie,
Fruit de la passion,Fruit de la passion,,-,Fruits_et_légumes,
Fruit rouge,Fruit rouge,,-,Fruits_et_légumes,
Fruits de mer,Fruits de mer,,-,Viandes_Poissons,
Fruits rouges,Fruits rouges,,-,Fruits_et_légumes,
Fumet de crustacés,Fumet,de crustacés,-,Epicerie,
Fumet de poisson liquide,Fumet,de poisson liquide,-,Epicerie,
Fumet en poudre,Fumet,en poudre,-,Epicerie,
Galantine,Galantine,,-,Viandes_Poissons,
Galette au quinoa provençale,Galette,au quinoa provençale,-,Epicerie,
Galette de maïs soufflé,Galette,de maïs soufflé,-,Epicerie,
Galette de riz soufflé complet,Galette,de riz soufflé complet,-,Epicerie,
